Allowed: ('192.168.1.4', '157.240.227.1', 'TCP', 56693, 443)
Allowed: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Allowed: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Allowed: ('157.240.227.1', '192.168.1.4', 'TCP', 443, 56693)
Allowed: ('157.240.227.1', '192.168.1.4', 'TCP', 443, 56693)
Allowed: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Allowed: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Allowed: ('157.240.227.1', '192.168.1.4', 'TCP', 443, 56693)
Allowed: ('192.168.1.4', '157.240.227.1', 'TCP', 56693, 443)
Allowed: ('192.168.1.4', '239.255.255.250', 'UDP', 54705, 1900)
Allowed: ('192.168.1.4', '150.171.22.12', 'TCP', 56677, 443)
Allowed: ('192.168.1.4', '150.171.22.12', 'TCP', 56677, 443)
Allowed: ('192.168.1.4', '150.171.22.12', 'TCP', 56677, 443)
Allowed: ('192.168.1.4', '150.171.22.12', 'TCP', 56677, 443)
Allowed: ('150.171.22.12', '192.168.1.4', 'TCP', 443, 56677)
Allowed: ('150.171.22.12', '192.168.1.4', 'TCP', 443, 56677)
Allowed: ('150.171.22.12', '192.168.1.4', 'TCP', 443, 56677)
Allowed: ('150.171.22.12', '192.168.1.4', 'TCP', 443, 56677)
Allowed: ('192.168.1.4', '35.174.127.31', 'TCP', 56694, 443)
Allowed: ('192.168.1.4', '150.171.22.12', 'TCP', 56677, 443)
Allowed: ('150.171.22.12', '192.168.1.4', 'TCP', 443, 56677)
Allowed: ('192.168.1.4', '150.171.22.12', 'TCP', 56677, 443)
Allowed: ('35.174.127.31', '192.168.1.4', 'TCP', 443, 56694)
Allowed: ('192.168.1.4', '35.174.127.31', 'TCP', 56694, 443)
Allowed: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Allowed: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Allowed: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Allowed: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Allowed: ('192.168.1.4', '239.255.255.250', 'UDP', 54705, 1900)
Allowed: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Allowed: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Allowed: ('192.168.1.4', '157.240.227.63', 'TCP', 56676, 443)
Allowed: ('192.168.1.4', '172.217.19.3', 'UDP', 49894, 443)
Allowed: ('157.240.227.63', '192.168.1.4', 'TCP', 443, 56676)
Allowed: ('172.217.19.3', '192.168.1.4', 'UDP', 443, 49894)
Allowed: ('192.168.1.4', '172.217.19.3', 'UDP', 49894, 443)
Allowed: ('157.240.227.63', '192.168.1.4', 'TCP', 443, 56676)
Allowed: ('172.217.19.3', '192.168.1.4', 'UDP', 443, 49894)
Allowed: ('172.217.19.3', '192.168.1.4', 'UDP', 443, 49894)
Allowed: ('192.168.1.4', '172.217.19.3', 'UDP', 49894, 443)
Allowed: ('192.168.1.4', '157.240.227.63', 'TCP', 56676, 443)
Allowed: ('172.217.19.3', '192.168.1.4', 'UDP', 443, 49894)
Allowed: ('192.168.1.4', '239.255.255.250', 'UDP', 54705, 1900)
Allowed: ('192.168.1.4', '192.168.1.1', 'UDP', 65370, 53)
Allowed: ('192.168.1.1', '192.168.1.4', 'UDP', 53, 65370)
Allowed: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
